numero_de_cliente,Predicted
4572294,FALSE
4572366,FALSE
4572633,FALSE
4572728,FALSE
4572765,FALSE
4572913,FALSE
4572976,FALSE
4573161,FALSE
4573196,FALSE
4573303,FALSE
4573394,FALSE
4573551,FALSE
4573777,FALSE
4574006,FALSE
4574122,FALSE
4574273,FALSE
4574405,FALSE
4574638,FALSE
4574641,FALSE
4574858,FALSE
4575005,FALSE
4575037,FALSE
4575112,FALSE
4575178,FALSE
4575247,FALSE
4575332,FALSE
4575392,FALSE
4575552,FALSE
4575744,FALSE
4575822,FALSE
4575844,FALSE
4575879,FALSE
4575932,FALSE
4576161,TRUE
4576460,FALSE
4576570,FALSE
4576626,FALSE
4576765,FALSE
4576928,FALSE
4576931,FALSE
4577176,FALSE
4577563,FALSE
4577726,FALSE
4577754,FALSE
4577823,FALSE
4577842,FALSE
4577870,FALSE
4578065,FALSE
4578401,FALSE
4578467,FALSE
4578486,FALSE
4578565,FALSE
4578678,FALSE
4578778,FALSE
4578788,FALSE
4579058,FALSE
4579435,FALSE
4579485,FALSE
4579595,FALSE
4579623,FALSE
4579658,FALSE
4579850,FALSE
4579956,FALSE
4580019,FALSE
4580267,FALSE
4580462,FALSE
4580550,FALSE
4581163,FALSE
4581172,FALSE
4581263,FALSE
4581292,FALSE
4581342,FALSE
4581706,FALSE
4581851,FALSE
4581920,FALSE
4581958,FALSE
4582024,FALSE
4582291,FALSE
4582385,FALSE
4582463,FALSE
4582533,FALSE
4582649,FALSE
4582900,FALSE
4583041,FALSE
4583092,FALSE
4583318,FALSE
4583337,FALSE
4583500,FALSE
4583610,FALSE
4583767,FALSE
4583770,FALSE
4583836,FALSE
4584050,FALSE
4584380,FALSE
4584421,FALSE
4584477,FALSE
4584641,FALSE
4584685,FALSE
4584911,FALSE
4585043,FALSE
4585096,TRUE
4585134,FALSE
4585520,FALSE
4585542,FALSE
4585596,FALSE
4585684,FALSE
4585759,FALSE
4585812,FALSE
4585850,FALSE
4585963,FALSE
4586045,FALSE
4586444,FALSE
4586563,FALSE
4586890,FALSE
4586924,FALSE
4587126,FALSE
4587286,FALSE
4587443,FALSE
4587569,FALSE
4587638,FALSE
4587647,FALSE
4588018,FALSE
4588024,FALSE
4588115,FALSE
4588169,FALSE
4588253,FALSE
4588502,FALSE
4588583,FALSE
4588825,FALSE
4588982,FALSE
4589039,FALSE
4589124,FALSE
4589177,FALSE
4589268,FALSE
4589290,FALSE
4589450,FALSE
4589683,FALSE
4589944,FALSE
4589950,FALSE
4589972,FALSE
4590010,FALSE
4590028,FALSE
4590173,FALSE
4590189,FALSE
4590556,FALSE
4590647,FALSE
4590666,FALSE
4591005,FALSE
4591335,FALSE
4591530,FALSE
4591891,FALSE
4591951,FALSE
4592146,FALSE
4592658,FALSE
4592677,FALSE
4592743,FALSE
4592959,FALSE
4592994,FALSE
4593022,FALSE
4593296,FALSE
4593531,TRUE
4593754,FALSE
4593761,FALSE
4593786,FALSE
4593871,FALSE
4593880,FALSE
4594021,FALSE
4594065,FALSE
4594087,FALSE
4594329,FALSE
4594379,FALSE
4594562,FALSE
4594998,FALSE
4595196,FALSE
4595218,FALSE
4595397,FALSE
